COUNTRY_CODE,AREA_CODE,ISP,QTYPE,QCLASS,TTL,RDATA,RTYPE
CN,52,MOB,A,IN,300,120.198.201.156,A
CN,52,TEL,A,IN,300,101.226.103.106,A
CN,52,TIE,A,IN,300,182.254.8.146,A
CN,52,UNI,A,IN,300,112.90.83.112,A
CN,53,EDU,A,IN,300,182.254.34.74,A
CN,53,TEL,A,IN,300,14.17.32.211,A
CN,53,TEL,A,IN,300,14.17.42.40,A
CN,53,TEL,A,IN,300,59.37.96.63,A
CN,53,TIE,A,IN,300,182.254.8.146,A
CN,53,UNI,A,IN,300,112.90.83.112,A
CN,54,EDU,A,IN,300,115.25.209.39,A
CN,54,MOB,A,IN,300,120.198.201.156,A
CN,54,TEL,A,IN,300,113.142.21.81,A
CN,54,TIE,A,IN,300,182.254.8.146,A
CN,54,UNI,A,IN,300,140.206.160.207,A
CN,46,EDU,A,IN,300,182.254.34.74,A
CN,46,MOB,A,IN,300,111.30.132.101,A
CN,46,TEL,A,IN,300,14.17.32.211,A
CN,46,TEL,A,IN,300,14.17.42.40,A
CN,46,TEL,A,IN,300,59.37.96.63,A
CN,46,TIE,A,IN,300,182.254.8.146,A
CN,46,UNI,A,IN,300,112.90.83.112,A
CN,62,EDU,A,IN,300,115.25.209.39,A
CN,62,MOB,A,IN,300,111.30.132.101,A
CN,62,TEL,A,IN,300,113.142.21.81,A
CN,62,TIE,A,IN,300,182.254.8.146,A
CN,62,UNI,A,IN,300,123.138.162.83,A
CN,64,EDU,A,IN,300,115.25.209.39,A
CN,64,MOB,A,IN,300,111.30.132.101,A
CN,64,TEL,A,IN,300,113.142.21.81,A
CN,64,TIE,A,IN,300,182.254.8.146,A
CN,64,UNI,A,IN,300,123.138.162.83,A
CN,63,EDU,A,IN,300,115.25.209.39,A
CN,63,MOB,A,IN,300,111.30.132.101,A
CN,63,TEL,A,IN,300,113.142.21.81,A
CN,63,TIE,A,IN,300,182.254.8.146,A
CN,63,UNI,A,IN,300,123.138.162.83,A
CN,65,MOB,A,IN,300,120.198.201.156,A
CN,65,TEL,A,IN,300,113.142.21.81,A
CN,65,TIE,A,IN,300,182.254.8.146,A
CN,65,UNI,A,IN,300,123.138.162.83,A
